uuid_id,country,age,income,credit_score,spending_score,customer_segment
usr_1001,USA,25,50000,650,45,Silver
usr_1002,USA,30,60000,700,55,Silver
usr_1003,USA,35,70000,720,65,Gold
usr_1004,USA,40,80000,740,75,Gold
usr_1005,USA,45,90000,780,85,Gold
usr_1006,USA,50,100000,800,95,Platinum
usr_1007,USA,22,45000,620,35,Silver
usr_1008,USA,28,55000,680,50,Silver
usr_1009,USA,33,65000,710,60,Silver
usr_1010,USA,38,75000,730,70,Gold
usr_1011,USA,43,85000,770,80,Gold
usr_1012,USA,48,95000,790,90,Gold
usr_1013,USA,53,105000,810,98,Platinum
usr_1014,USA,29,,690,52,Silver
usr_1015,USA,34,,715,62,Silver
usr_1016,USA,89,500000,850,99,Platinum
usr_1017,USA,92,750000,850,99,Platinum
usr_1018,USA,25,50000,650,45,Silver
usr_1019,USA,30,60000,700,55,Silver
usr_1020,USA,35,70000,720,65,Gold
